regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Nordeste,AL,,27,,,,2020-04-23,17,3337357.0,324,22,,
Nordeste,AL,,27,,,,2020-04-24,17,3337357.0,413,27,,
Nordeste,AL,,27,,,,2020-04-25,17,3337357.0,501,29,,
Nordeste,AL,,27,,,,2020-04-26,18,3337357.0,554,32,,
Nordeste,AL,,27,,,,2020-04-27,18,3337357.0,643,34,,
Nordeste,AL,,27,,,,2020-04-28,18,3337357.0,777,36,,
Nordeste,AL,,27,,,,2020-04-29,18,3337357.0,957,41,,
Nordeste,AL,,27,,,,2020-04-30,18,3337357.0,1044,47,,
Nordeste,AL,,27,,,,2020-05-01,18,3337357.0,1226,53,,
Nordeste,AL,,27,,,,2020-05-02,18,3337357.0,1372,58,,
Nordeste,AL,,27,,,,2020-05-03,19,3337357.0,1441,64,,
Nordeste,AL,,27,,,,2020-05-04,19,3337357.0,1538,72,,
Nordeste,AL,,27,,,,2020-05-05,19,3337357.0,1606,80,,
Nordeste,AL,,27,,,,2020-05-06,19,3337357.0,1703,89,,
Nordeste,AL,,27,,,,2020-05-07,19,3337357.0,1867,98,,
Nordeste,AL,,27,,,,2020-05-08,19,3337357.0,2033,108,,
Nordeste,AL,,27,,,,2020-05-09,19,3337357.0,2172,114,,
Nordeste,AL,,27,,,,2020-05-10,20,3337357.0,2258,126,,
Nordeste,AL,,27,,,,2020-05-11,20,3337357.0,2343,138,,
Nordeste,AL,,27,,,,2020-05-12,20,3337357.0,2580,150,,
Nordeste,AL,,27,,,,2020-05-13,20,3337357.0,2761,164,,
Nordeste,AL,,27,,,,2020-05-14,20,3337357.0,2972,177,,
Nordeste,AL,,27,,,,2020-05-15,20,3337357.0,3212,187,,
Nordeste,AL,,27,,,,2020-05-16,20,3337357.0,3593,199,,
